Date,High,Low,Open,Close,Volume,Adj Close
2018-03-14,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-03-15,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-03-16,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-03-19,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-03-20,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-03-21,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-03-22,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-03-23,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-03-26,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-03-27,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-03-28,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-03-29,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-04-02,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-04-03,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-04-04,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-04-05,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-04-06,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-04-09,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-04-10,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-04-11,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-04-12,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-04-13,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-04-16,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-04-17,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-04-18,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-04-19,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-04-20,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-04-23,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-04-24,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-04-25,1.0,1.0,1.0,1.0,0.0,0.9131823182106018
2018-04-26,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-04-27,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-04-30,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-05-02,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-05-03,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-05-04,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-05-07,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-05-08,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-05-09,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-05-10,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-05-11,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-05-14,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-05-15,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-05-16,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-05-17,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-05-18,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-05-21,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-05-22,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-05-23,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-05-24,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
2018-05-25,1.0,1.0,1.0,1.0,0.0,0.9819164872169495
